序号,描述,x0,y0,x1,y1
1,电动阀 ,1121.0211026532602,-199.965100593742,1131.22110265326,-180.514467361742
2,手动阀,1121.70983460357,-170.476264180956,1131.9098346035698,-156.376264180956
3,余压阀,1121.84377126989,-238.029613404506,1133.29377126989,-220.329613404506
4,排烟阀,1123.13793121862,-303.248751727469,1136.7642975025299,-283.204773464996
5,防火阀,1123.52733511881,-274.849276457406,1137.15370140272,-254.805298194934
6,,1141.65673834339,-658.1368752821741,1162.2507756216899,-641.533672882563
7,,1143.948895743057,-627.63847845957,1149.148895765103,-624.9384784154777
8,排烟阀,1144.86296034594,-304.165904921023,1155.0629641497899,-288.9659020681379
9,防火阀,1145.2523642461401,-275.76642965096005,1155.45236804998,-260.56642679807595
10,,1154.344985038797,-627.63847845957,1159.544985060843,-624.9384784154777
11,,1154.93538956717,-666.932847688824,1160.1353895671698,-664.232847688824
12,风口,1163.252341252832,-567.92046778572,1193.09662486133,-552.7204658837967
13,分体柜机,1254.04237764713,-297.8009959609,1274.4699556871099,-241.967182992635
14,电暖风机,1256.8728909260558,-619.726394657467,1321.4329447282298,-593.1734615690918
15,加湿器,1261.2395506846622,-686.7830642944722,1292.68955070669,-676.5830630265235
16,热管,1262.0190737566602,-227.23601096582598,1275.9537217754798,-216.584686495238
17,安全壳隔离阀,1262.76406618849,-170.239319173023,1273.9640661884898,-157.85049955148202
18,新、排风口,1265.39560869355,-197.493887415764,1271.7719831740799,-185.773887415763
19,风机,1267.0117612690017,-499.1617569196631,1282.2117612690017,-483.96175691966306
20,消声器,1269.8665922208402,-665.5478225739489,1285.06659222084,-655.3478225739489
21,碘吸附器,1269.9405422367868,-644.205534550141,1286.807208903453,-634.005534550141
22,电加热器在线,1270.84746424046,-587.880265696092,1281.04746424046,-572.3810436916709
23,高效过滤器,1272.30147062335,-541.2244281483829,1272.5014706233499,-537.92904098288
24,,1338.11403875985,-227.796653109635,1380.62670816875,-200.475002689916
25,,1350.5076968443282,-275.32568556831603,1393.0675023960698,-258.72248316870497
26,,1360.747452823747,-188.50228388038119,1365.947452845793,-185.80228383628884
27,,1369.971915193027,-244.82728874571217,1375.1719152150729,-242.12728870161982
28,,1371.143542119487,-188.50228388038119,1376.343542141533,-185.80228383628884
29,,1380.368004488777,-244.82728874571217,1385.568004510823,-242.12728870161982
30,,1380.9584090171402,-284.121657974966,1386.15840901714,-281.42165797496597
